episode;reward;steps
0;13291.690709249002;110
1;13077.78561564555;111
2;13344.926616439223;113
3;13113.058877796788;107
4;13260.023585375477;108
5;13180.359046709298;107
6;13180.359046709298;107
7;13199.127402461905;107
8;13199.127402461905;107
9;13279.854092798376;108
10;13199.127402461905;107
11;13145.211187092817;107
12;13155.53526324777;108
13;13196.51455751767;107
14;13149.470279508078;107
15;13151.143337022006;107
16;13199.127402461905;107
17;13101.738711751705;109
18;13199.127402461905;107
19;13213.698987264726;108
20;13199.127402461905;107
21;13220.368501828469;108
22;13246.729645448804;108
23;13284.283157425793;108
24;13029.649433348462;107
25;13199.127402461905;107
26;13199.127402461905;107
27;13199.127402461905;107
28;13199.127402461905;107
29;13337.8717696651;108
30;13274.17697111757;108
31;13183.7930450254;107
32;13158.19742931707;107
33;13112.499998146715;113
34;13232.660966488196;108
35;13222.615130303577;108
36;13199.127402461905;107
37;13174.244341693335;108
38;13293.540480052689;109
39;13284.099914832072;108
40;13188.455956828142;108
41;13224.898627397819;108
42;13199.127402461905;107
43;13199.127402461905;107
44;13099.912998864635;107
45;13253.136720668708;109
46;13199.260112407635;107
47;13297.995882319165;109
48;13199.127402461905;107
49;13199.127402461905;107
50;13199.127402461905;107
51;13199.127402461905;107
52;13196.687855669363;110
53;13090.044042261596;107
54;13199.127402461905;107
55;13199.127402461905;107
56;13199.127402461905;107
57;13199.127402461905;107
58;13352.173456710814;108
59;13199.127402461905;107
60;13199.127402461905;107
61;13115.00718617066;107
62;13064.459348885292;111
63;13084.398806205967;107
64;13113.980578694223;107
65;13199.127402461905;107
66;13145.211187092817;107
67;13261.99379856332;108
68;13199.127402461905;107
69;13199.127402461905;107
70;13229.843498020924;108
71;13199.127402461905;107
72;13199.127402461905;107
73;13174.244341693335;108
74;13199.127402461905;107
75;13199.127402461905;107
76;13199.127402461905;107
77;13199.127402461905;107
78;13199.127402461905;107
79;13306.35817771654;109
80;13040.906416841242;107
81;13199.127402461905;107
82;13267.31374475319;109
83;13059.522416422831;107
84;13199.127402461905;107
85;13199.127402461905;107
86;13199.127402461905;107
87;13199.127402461905;107
88;13199.127402461905;107
89;13279.151753235088;108
90;13199.127402461905;107
91;13257.719427834887;109
92;13199.127402461905;107
93;13199.260112407635;107
94;13199.127402461905;107
95;13303.045138037412;110
96;13199.127402461905;107
97;13199.127402461905;107
98;13074.029775994424;109
99;13199.127402461905;107
100;13103.424384733797;107
101;13193.866129126489;109
102;13244.920663649058;107
103;13172.327657564563;107
104;13216.47619967123;108
105;13199.127402461905;107
106;13162.992804684663;109
107;13199.127402461905;107
108;13199.127402461905;107
109;13155.797217745101;108
110;13199.127402461905;107
111;13200.994423266187;107
112;13136.30171793003;108
113;13326.613995512525;108
114;12955.455696134939;107
115;13199.127402461905;107
116;13235.801991560702;108
117;13040.86673709429;107
118;13199.127402461905;107
119;13199.127402461905;107
120;13329.030602017647;110
121;13172.261873317764;107
122;13199.127402461905;107
123;13056.273956342302;107
124;13199.127402461905;107
125;13199.455563848;109
126;13199.127402461905;107
127;13117.218126398251;107
128;13199.127402461905;107
129;13199.127402461905;107
130;13157.056397528442;108
131;13174.036280412412;108
132;13225.083150109223;112
133;13131.408533081403;108
134;13199.127402461905;107
135;13229.898263458657;107
136;13199.127402461905;107
137;13199.127402461905;107
138;13274.074651032528;109
139;13199.127402461905;107
140;13100.933570255102;107
141;13179.32721625212;107
142;13178.5308379106;107
143;13199.127402461905;107
144;13199.127402461905;107
145;13346.136102666673;109
146;13199.127402461905;107
147;13179.153823030194;107
148;13199.127402461905;107
149;13199.127402461905;107
150;13256.285678294114;108
